datetime,open,high,low,close,volume
2017-08-17 09:30:00,4261.48,4280.56,4261.32,4261.45,11.308926
2017-08-17 10:00:00,4280.0,4313.62,4267.99,4308.83,35.872083
2017-08-17 10:30:00,4308.83,4328.69,4304.31,4320.0,21.048648
2017-08-17 11:00:00,4320.0,4320.0,4291.37,4315.32,2.186268
2017-08-17 11:30:00,4330.29,4330.29,4309.37,4311.02,3.566277
2017-08-17 12:00:00,4328.65,4345.45,4319.83,4324.35,3.663414
2017-08-17 12:30:00,4316.62,4316.62,4291.38,4291.38,0.040459
2017-08-17 13:00:00,4291.39,4349.99,4287.41,4349.99,4.40279
2017-08-17 13:30:00,4333.32,4377.85,4333.32,4360.7,0.84226
2017-08-17 14:00:00,4360.7,4360.7,4360.0,4360.69,0.130547
2017-08-17 14:30:00,4360.0,4360.0,4360.0,4360.0,2.295001
2017-08-17 15:00:00,4360.0,4445.78,4360.0,4444.0,8.468622
2017-08-17 15:30:00,4441.1,4443.0,4399.81,4440.0,5.274331
2017-08-17 16:00:00,4400.0,4470.0,4400.0,4460.0,19.591068
2017-08-17 16:30:00,4460.0,4485.39,4454.72,4485.39,24.929329
2017-08-17 17:00:00,4485.39,4485.39,4427.3,4427.3,2.088724
2017-08-17 17:30:00,4436.06,4449.56,4418.12,4418.12,21.095547
2017-08-17 18:00:00,4417.0,4431.13,4411.0,4411.0,1.936851
2017-08-17 18:30:00,4411.0,4445.88,4411.0,4440.0,3.718318
2017-08-17 19:00:00,4435.12,4459.0,4425.21,4459.0,27.594118
2017-08-17 19:30:00,4459.0,4469.46,4435.93,4467.81,21.648809
2017-08-17 20:00:00,4467.81,4485.39,4452.57,4470.82,30.087088
2017-08-17 20:30:00,4470.82,4470.82,4412.1,4432.2,22.594839
2017-08-17 21:00:00,4432.2,4444.9,4333.42,4352.34,45.886431
2017-08-17 21:30:00,4352.33,4354.35,4255.3,4290.17,53.209948
2017-08-17 22:00:00,4290.17,4354.18,4290.17,4354.18,14.248843
2017-08-17 22:30:00,4354.18,4354.84,4301.5,4335.28,21.401496
2017-08-17 23:00:00,4335.28,4354.84,4235.45,4289.24,38.263416
2017-08-17 23:30:00,4289.24,4302.45,4218.68,4287.69,24.946195
2017-08-18 00:00:00,4287.69,4302.45,4222.97,4256.97,26.328968
2017-08-18 00:30:00,4241.91,4302.44,4200.74,4287.61,33.16595
2017-08-18 01:00:00,4287.61,4335.3,4287.61,4325.23,13.5449
2017-08-18 01:30:00,4307.56,4325.23,4261.0,4273.16,26.16558
2017-08-18 02:00:00,4258.56,4354.84,4258.56,4346.74,22.809892
2017-08-18 02:30:00,4346.74,4369.69,4315.85,4349.33,29.292665
2017-08-18 03:00:00,4349.33,4369.69,4309.23,4333.55,32.480371
2017-08-18 03:30:00,4333.55,4349.63,4310.0,4326.29,26.241174
2017-08-18 04:00:00,4326.28,4359.13,4319.11,4336.8,31.134968
2017-08-18 04:30:00,4313.39,4337.38,4300.0,4327.89,39.337249
2017-08-18 05:00:00,4327.89,4332.26,4280.82,4285.08,42.308014
2017-08-18 05:30:00,4285.08,4309.92,4267.78,4292.11,26.371471
2017-08-18 06:00:00,4292.11,4340.62,4228.76,4286.53,56.064003
2017-08-18 06:30:00,4269.36,4269.36,4134.61,4214.97,53.313177
2017-08-18 07:00:00,4214.97,4269.36,4200.6,4243.59,22.371706
2017-08-18 07:30:00,4251.95,4298.64,4234.0,4278.05,39.571955
2017-08-18 08:00:00,4278.05,4278.05,4242.75,4267.59,14.499382
2017-08-18 08:30:00,4244.77,4308.7,4244.77,4244.77,29.093027
2017-08-18 09:00:00,4244.77,4296.6,4234.0,4292.39,34.908322
2017-08-18 09:30:00,4292.39,4292.39,4234.43,4245.0,25.454966
2017-08-18 10:00:00,4245.0,4292.39,4234.67,4287.92,25.342549
