datetime,open,high,low,close,volume
2017-08-17 09:30:00,4261.48,4280.56,4261.48,4261.48,2.189061
2017-08-17 09:45:00,4261.48,4270.41,4261.32,4261.45,9.119865
2017-08-17 10:00:00,4280.0,4310.07,4267.99,4310.07,21.923552
2017-08-17 10:15:00,4310.07,4313.62,4291.37,4308.83,13.948531
2017-08-17 10:30:00,4308.83,4328.69,4304.31,4304.31,5.101153
2017-08-17 10:45:00,4320.0,4320.0,4312.14,4320.0,15.947495
2017-08-17 11:00:00,4320.0,4320.0,4291.37,4291.37,2.155453
2017-08-17 11:15:00,4297.04,4315.32,4297.04,4315.32,0.030815
2017-08-17 11:30:00,4330.29,4330.29,4318.39,4330.0,0.065364
2017-08-17 11:45:00,4309.37,4330.29,4309.37,4311.02,3.500913
2017-08-17 12:00:00,4328.65,4345.45,4319.83,4345.45,3.494176
2017-08-17 12:15:00,4345.45,4345.45,4324.35,4324.35,0.169238
2017-08-17 12:30:00,4316.62,4316.62,4316.62,4316.62,0.001541
2017-08-17 12:45:00,4291.38,4291.38,4291.38,4291.38,0.038918
2017-08-17 13:00:00,4291.39,4300.0,4291.39,4300.0,0.718901
2017-08-17 13:15:00,4287.41,4349.99,4287.41,4349.99,3.683889
2017-08-17 13:30:00,4333.32,4377.85,4333.32,4360.71,0.766417
2017-08-17 13:45:00,4360.71,4360.71,4360.7,4360.7,0.075843
2017-08-17 14:00:00,4360.7,4360.7,4360.0,4360.69,0.099262
2017-08-17 14:15:00,4360.7,4360.7,4360.69,4360.69,0.031285
2017-08-17 14:30:00,4360.0,4360.0,4360.0,4360.0,0.006296
2017-08-17 14:45:00,4360.0,4360.0,4360.0,4360.0,2.288705
2017-08-17 15:00:00,4360.0,4445.78,4360.0,4436.51,8.4108
2017-08-17 15:15:00,4444.0,4444.0,4444.0,4444.0,0.057822
2017-08-17 15:30:00,4441.1,4441.1,4399.81,4400.0,4.65968
2017-08-17 15:45:00,4400.0,4443.0,4400.0,4440.0,0.614651
2017-08-17 16:00:00,4400.0,4419.0,4400.0,4415.0,2.078235
2017-08-17 16:15:00,4419.0,4470.0,4419.0,4460.0,17.512833
2017-08-17 16:30:00,4460.0,4474.8,4454.72,4474.8,16.084544
2017-08-17 16:45:00,4474.8,4485.39,4465.06,4485.39,8.844785
2017-08-17 17:00:00,4485.39,4485.39,4459.96,4469.93,0.583082
2017-08-17 17:15:00,4469.93,4469.93,4427.3,4427.3,1.505642
2017-08-17 17:30:00,4436.06,4449.56,4436.06,4441.87,11.174158
2017-08-17 17:45:00,4441.87,4441.87,4418.12,4418.12,9.921389
2017-08-17 18:00:00,4417.0,4431.13,4411.01,4431.13,1.089877
2017-08-17 18:15:00,4430.0,4431.13,4411.0,4411.0,0.846974
2017-08-17 18:30:00,4411.0,4445.88,4411.0,4445.88,1.258943
2017-08-17 18:45:00,4430.43,4440.0,4422.6,4440.0,2.459375
2017-08-17 19:00:00,4435.12,4445.0,4425.21,4445.0,7.50464
2017-08-17 19:15:00,4432.07,4459.0,4425.6,4459.0,20.089478
2017-08-17 19:30:00,4459.0,4460.0,4435.93,4452.71,17.338465
2017-08-17 19:45:00,4452.71,4469.46,4437.35,4467.81,4.310344
2017-08-17 20:00:00,4467.81,4485.39,4452.57,4477.53,9.855382
2017-08-17 20:15:00,4477.53,4477.53,4453.26,4470.82,20.231706
2017-08-17 20:30:00,4470.82,4470.82,4453.67,4460.0,9.802889
2017-08-17 20:45:00,4460.0,4470.82,4412.1,4432.2,12.79195
2017-08-17 21:00:00,4432.2,4444.9,4374.04,4396.47,25.401316
2017-08-17 21:15:00,4392.95,4425.83,4333.42,4352.34,20.485115
2017-08-17 21:30:00,4352.33,4354.35,4255.3,4307.17,34.177553
2017-08-17 21:45:00,4307.17,4336.69,4265.87,4290.17,19.032395
2017-08-17 22:00:00,4290.17,4337.29,4290.17,4300.29,8.115841
2017-08-17 22:15:00,4300.29,4354.18,4300.29,4354.18,6.133002
2017-08-17 22:30:00,4354.18,4354.84,4326.99,4341.31,12.106329
2017-08-17 22:45:00,4323.23,4354.84,4301.5,4335.28,9.295167
2017-08-17 23:00:00,4335.28,4354.84,4328.15,4328.15,7.043752
2017-08-17 23:15:00,4315.11,4328.15,4235.45,4289.24,31.219664
2017-08-17 23:30:00,4289.24,4289.24,4218.68,4282.43,16.311995
2017-08-17 23:45:00,4282.43,4302.45,4273.03,4287.69,8.6342
2017-08-18 00:00:00,4287.69,4302.45,4237.85,4237.85,11.597114
2017-08-18 00:15:00,4237.85,4267.01,4222.97,4256.97,14.731854
2017-08-18 00:30:00,4241.91,4284.27,4200.74,4281.87,21.917131
2017-08-18 00:45:00,4281.87,4302.44,4247.38,4287.61,11.248819
2017-08-18 01:00:00,4287.61,4327.25,4287.61,4327.25,8.164408
2017-08-18 01:15:00,4327.25,4335.3,4325.23,4325.23,5.380492
2017-08-18 01:30:00,4307.56,4325.23,4261.0,4278.05,13.584171
2017-08-18 01:45:00,4278.05,4325.23,4273.16,4273.16,12.581409
2017-08-18 02:00:00,4258.56,4325.24,4258.56,4305.0,14.028272
2017-08-18 02:15:00,4305.0,4354.84,4305.0,4346.74,8.78162
2017-08-18 02:30:00,4346.74,4367.93,4315.85,4367.93,10.556113
2017-08-18 02:45:00,4346.73,4369.69,4335.98,4349.33,18.736552
2017-08-18 03:00:00,4349.33,4369.69,4322.65,4354.35,13.210825
2017-08-18 03:15:00,4354.03,4368.68,4309.23,4333.55,19.269546
2017-08-18 03:30:00,4333.55,4349.63,4322.39,4334.32,11.280595
2017-08-18 03:45:00,4325.24,4326.29,4310.0,4326.29,14.960579
2017-08-18 04:00:00,4326.28,4356.06,4319.11,4352.34,14.912675
2017-08-18 04:15:00,4335.0,4359.13,4327.52,4336.8,16.222293
2017-08-18 04:30:00,4313.39,4337.38,4300.0,4323.31,18.201416
2017-08-18 04:45:00,4337.38,4337.38,4318.68,4327.89,21.135833
2017-08-18 05:00:00,4327.89,4332.26,4314.13,4328.25,10.899352
2017-08-18 05:15:00,4325.82,4332.26,4280.82,4285.08,31.408662
2017-08-18 05:30:00,4285.08,4305.76,4267.78,4305.76,10.458487
